,importance
age,0.09908223
previous_admissions_12m,0.094277054
comorbidity_index,0.07311894
ckd_flag,0.055889234
follow_up_within_7_days_flag,0.041305337
heart_failure_flag,0.035502017
previous_er_visits_12m,0.034178708
hist_days_since_last_visit,0.034024827
high_risk_medication_flag,0.03357717
medication_count_at_discharge,0.02868592
icu_stay_flag,0.026656602
prior_30_day_readmission_flag,0.023402957
discharge_destination,0.023352858
dementia_flag,0.023067746
copd_flag,0.02140542
creatinine,0.01931827
hist_num_visits,0.01845917
hist_visit_frequency_per_year,0.017010307
hist_last_creatinine,0.016262589
total_charges_index_stay,0.01520858
creatinine_delta_vs_history,0.014370925
admission_type,0.014114938
length_of_stay_days,0.013712482
hist_med_trend_cardiac,0.013082332
hist_hba1c_slope,0.012845531
hba1c_delta_vs_history,0.0127217155
glucose,0.012481669
hist_creatinine_slope,0.012174938
insurance_type,0.012049195
hemoglobin,0.0117995795
hist_med_trend_insulin,0.011506862
cancer_flag,0.011473019
bmi,0.011194498
hist_last_hba1c,0.01099242
wbc_count,0.010983486
hist_sbp_slope,0.010963695
drg_code,0.010932528
hbA1c,0.010469242
sex,0.010369929
total_bilirubin,0.01034247
hist_ed_visit_rate,0.010062842
polypharmacy_flag,0.009609912
diabetes_flag,0.007959769
